Question Number,Level Number,Level Topic,Instruction,Question,Question Type,Answer Type,Option 1,Option 2,Option 3,Option 4,Correct Answer
6,2,What comes after ,Answer the following Question,"20,______",String,MCQ,19,21,18,22,21
7,2,What comes after ,Answer the following Question,"13,______",String,MCQ,12,11,14,15,14
8,2,What comes after ,Answer the following Question,"21,______",String,MCQ,22,23,19,20,22
9,2,What comes after ,Answer the following Question,"19,______",String,MCQ,20,21,23,22,20
10,2,What comes after ,Answer the following Question,"12,______",String,MCQ,13,12,10,14,13
1,3,What comes before ,Answer the following Question,"______,14",String,MCQ,12,12,13,14,13
2,3,What comes before ,Answer the following Question,"______,12",String,MCQ,11,10,9,13,11
3,3,What comes before ,Answer the following Question,"______,16",String,MCQ,12,14,15,16,15
4,3,What comes before ,Answer the following Question,"______,8",String,MCQ,4,3,2,7,7
5,3,What comes before ,Answer the following Question,"______,4",String,MCQ,1,12,3,5,3
6,3,What comes before ,Answer the following Question,"______,24",String,MCQ,23,22,25,26,23
7,3,What comes before ,Answer the following Question,"______,26",String,MCQ,25,22,23,24,25
8,3,What comes before ,Answer the following Question,"______,17",String,MCQ,17,18,16,21,16
9,3,What comes before ,Answer the following Question,"______,28",String,MCQ,26,27,25,24,27
10,3,What comes before ,Answer the following Question,"______,7",String,MCQ,4,9,5,6,6
1,4,Identify smaller number,Answer the following Question,"6,1",String,Text,,,,,1
2,4,Identify smaller number,Answer the following Question,"7,2",String,Text,,,,,2
3,4,Identify smaller number,Answer the following Question,"19,14",String,Text,,,,,14
4,4,Identify smaller number,Answer the following Question,"19,13",String,Text,,,,,13
5,4,Identify smaller number,Answer the following Question,"9,5",String,Text,,,,,5
6,4,Identify smaller number,Answer the following Question,"16,15",String,Text,,,,,15
7,4,Identify smaller number,Answer the following Question,"5,20",String,Text,,,,,5
8,4,Identify smaller number,Answer the following Question,"13,18",String,Text,,,,,13
9,4,Identify smaller number,Answer the following Question,"1,7",String,Text,,,,,1
10,4,Identify smaller number,Answer the following Question,"11,8",String,Text,,,,,8
1,5,Identify bigger number,Answer the following Question,"3,2",String,Text,,,,,3
2,5,Identify bigger number,Answer the following Question,"8,5",String,Text,,,,,8
3,5,Identify bigger number,Answer the following Question,"7,3",String,Text,,,,,7
4,5,Identify bigger number,Answer the following Question,"1,20",String,Text,,,,,20
5,5,Identify bigger number,Answer the following Question,"8,4",String,Text,,,,,8
6,5,Identify bigger number,Answer the following Question,"16,7",String,Text,,,,,16
7,5,Identify bigger number,Answer the following Question,"5,9",String,Text,,,,,9
8,5,Identify bigger number,Answer the following Question,"3,12",String,Text,,,,,12
9,5,Identify bigger number,Answer the following Question,"6,5",String,Text,,,,,6
10,5,Identify bigger number,Answer the following Question,"9,3",String,MCQ,,,,,9
1,6,What comes before ,Answer the following Question,"____,47",String,MCQ,46,48,49,45,46
2,6,What comes before ,Answer the following Question,"____,34",String,MCQ,35,36,33,32,33
3,6,What comes before ,Answer the following Question,"____,68",String,MCQ,69,66,65,67,67
4,6,What comes before ,Answer the following Question,"____,49",String,MCQ,58,48,47,50,48
5,6,What comes before ,Answer the following Question,"____,54",String,MCQ,53,55,56,52,53
6,6,What comes before ,Answer the following Question,"____,18",String,MCQ,17,16,19,20,17
7,6,What comes before ,Answer the following Question,"____,65",String,MCQ,63,67,64,68,64
8,6,What comes before ,Answer the following Question,"____,82",String,MCQ,88,86,81,89,81
9,6,What comes before ,Answer the following Question,"____,71",String,MCQ,77,72,73,70,70
10,6,What comes before ,Answer the following Question,"____,9",String,MCQ,7,8,10,6,8
1,7,Identify bigger number,Answer the following Question,"18,57,54",String,Text,,,,,57
2,7,Identify bigger number,Answer the following Question,"54,32,33",String,Text,,,,,54
3,7,Identify bigger number,Answer the following Question,"63,6,40",String,Text,,,,,63
4,7,Identify bigger number,Answer the following Question,"41,27,37",String,Text,,,,,41
5,7,Identify bigger number,Answer the following Question,"18,81,31",String,Text,,,,,81
6,7,Identify bigger number,Answer the following Question,"79,84,53",String,Text,,,,,82
7,7,Identify bigger number,Answer the following Question,"69,80,28",String,Text,,,,,80
8,7,Identify bigger number,Answer the following Question,"64,18,88",String,Text,,,,,88
9,7,Identify bigger number,Answer the following Question,"86,20,59",String,Text,,,,,86
10,7,Identify bigger number,Answer the following Question,"9,30,92",String,Text,,,,,92
1,8,Add or Subtract,Answer the following Question,24+8,String,MCQ,31,30,29,32,32
2,8,Add or Subtract,Answer the following Question,30-1,String,MCQ,29,28,27,30,29
3,8,Add or Subtract,Answer the following Question,20-5,String,MCQ,16,14,15,12,15
4,8,Add or Subtract,Answer the following Question,20-19,String,MCQ,2,8,39,1,1
5,8,Add or Subtract,Answer the following Question,11-2,String,MCQ,13,9,12,8,9
6,8,Add or Subtract,Answer the following Question,6+14,String,MCQ,19,20,21,22,20
7,8,Add or Subtract,Answer the following Question,17-3,String,MCQ,3,14,4,8,14
8,8,Add or Subtract,Answer the following Question,29-1,String,MCQ,22,26,27,28,28
9,8,Add or Subtract,Answer the following Question,16+7,String,MCQ,21,22,23,20,23
10,8,Add or Subtract,Answer the following Question,23+2,String,MCQ,19,25,17,23,25
1,9,Multiplication Facts (6-10) (H),Answer the following Question,4x4,String,Text,,,,,16
2,9,Multiplication Facts (6-10) (H),Answer the following Question,6x2,String,Text,,,,,12
3,9,Multiplication Facts (6-10) (H),Answer the following Question,9x5,String,Text,,,,,45
4,9,Multiplication Facts (6-10) (H),Answer the following Question,3x8,String,Text,,,,,24
5,9,Multiplication Facts (6-10) (H),Answer the following Question,6x4,String,Text,,,,,24
6,9,Multiplication Facts (6-10) (H),Answer the following Question,4x7,String,Text,,,,,28
7,9,Multiplication Facts (6-10) (H),Answer the following Question,8x6,String,Text,,,,,48
8,9,Multiplication Facts (6-10) (H),Answer the following Question,2x3,String,Text,,,,,6
9,9,Multiplication Facts (6-10) (H),Answer the following Question,3x1,String,Text,,,,,3
10,9,Multiplication Facts (6-10) (H),Answer the following Question,9x5,String,Text,,,,,45
1,10,Expanded form (3 digit),Answer the following Question,600+20+9,String,MCQ,625,630,629,631,629
2,10,Expanded form (3 digit),Answer the following Question,100+70+2,String,MCQ,169,172,170,177,172
3,10,Expanded form (3 digit),Answer the following Question,400+30+1,String,MCQ,431,429,433,432,431
4,10,Expanded form (3 digit),Answer the following Question,200+50+8,String,MCQ,259,256,257,258,258
5,10,Expanded form (3 digit),Answer the following Question,600+20+7,String,MCQ,427,527,627,434,627
6,10,Expanded form (3 digit),Answer the following Question,700+90+2,String,MCQ,801,810,800,790,792
7,10,Expanded form (3 digit),Answer the following Question,500+30+4,String,MCQ,545,555,535,534,534
8,10,Expanded form (3 digit),Answer the following Question,800+60+8,String,MCQ,800,868,870,890,868
9,10,Expanded form (3 digit),Answer the following Question,600+10+6,String,MCQ,121,616,221,234,616
10,10,Expanded form (3 digit),Answer the following Question,800+30+3,String,MCQ,345,830,833,844,833
1,11,Double x Single Multiply (Vertical) ,Answer the following Question,19x6,String,Text,,,,,114
2,11,Double x Single Multiply (Vertical) ,Answer the following Question,81x6,String,Text,,,,,486
3,11,Double x Single Multiply (Vertical) ,Answer the following Question,29x6,String,Text,,,,,174
4,11,Double x Single Multiply (Vertical) ,Answer the following Question,92x6,String,Text,,,,,552
5,11,Double x Single Multiply (Vertical) ,Answer the following Question,38x6,String,Text,,,,,228
6,11,Double x Single Multiply (Vertical) ,Answer the following Question,57x6,String,Text,,,,,342
7,11,Double x Single Multiply (Vertical) ,Answer the following Question,54x6,String,Text,,,,,324
8,11,Double x Single Multiply (Vertical) ,Answer the following Question,16x6,String,Text,,,,,96
9,11,Double x Single Multiply (Vertical) ,Answer the following Question,82x6,String,Text,,,,,492
10,11,Double x Single Multiply (Vertical) ,Answer the following Question,61x6,String,Text,,,,,366
1,12,Double x Double Multiply (Vertical) ,Answer the following Question,89x99,String,Text,,,,,8811
2,12,Double x Double Multiply (Vertical) ,Answer the following Question,23x73,String,Text,,,,,1679
3,12,Double x Double Multiply (Vertical) ,Answer the following Question,13x21,String,Text,,,,,273
4,12,Double x Double Multiply (Vertical) ,Answer the following Question,69x39,String,Text,,,,,2691
5,12,Double x Double Multiply (Vertical) ,Answer the following Question,42x50,String,Text,,,,,2100
6,12,Double x Double Multiply (Vertical) ,Answer the following Question,47x29,String,Text,,,,,1363
7,12,Double x Double Multiply (Vertical) ,Answer the following Question,34x55,String,Text,,,,,1870
8,12,Double x Double Multiply (Vertical) ,Answer the following Question,96x47,String,Text,,,,,4512
9,12,Double x Double Multiply (Vertical) ,Answer the following Question,84x65,String,Text,,,,,5460
10,12,Double x Double Multiply (Vertical) ,Answer the following Question,16x61,String,Text,,,,,976
1,13,Double - Single Digit Division (w/o remainder)(H),Answer the following Question,9/3,String,MCQ,12,3,4,9,3
2,13,Double - Single Digit Division (w/o remainder)(H),Answer the following Question,8/2,String,MCQ,16,12,8,4,4
3,13,Double - Single Digit Division (w/o remainder)(H),Answer the following Question,45/9,String,MCQ,4,10,5,9,5
4,13,Double - Single Digit Division (w/o remainder)(H),Answer the following Question,63/7,String,MCQ,3,10,9,7,9
5,13,Double - Single Digit Division (w/o remainder)(H),Answer the following Question,40/8,String,MCQ,5,20,8,9,5
6,13,Double - Single Digit Division (w/o remainder)(H),Answer the following Question,6/2,String,MCQ,4,12,9,3,3
7,13,Double - Single Digit Division (w/o remainder)(H),Answer the following Question,10/2,String,MCQ,5,4,6,7,5
8,13,Double - Single Digit Division (w/o remainder)(H),Answer the following Question,36/6,String,MCQ,5,4,6,7,6
9,13,Double - Single Digit Division (w/o remainder)(H),Answer the following Question,20/10,String,MCQ,5,2,7,8,2
10,13,Double - Single Digit Division (w/o remainder)(H),Answer the following Question,16/4,String,MCQ,7,4,5,9,4
1,14,Double - Single Digit Division (with remainder) (V),Answer the following Question,12/3,String,MCQ,3 rem 0,4 rem 0,3 rem 1,4 rem 1,4 rem 0
2,14,Double - Single Digit Division (with remainder) (V),Answer the following Question,95/2,String,MCQ,47 rem 1,47 rem 0,46 rem 0,40 rem 0,47 rem 1
3,14,Double - Single Digit Division (with remainder) (V),Answer the following Question,40/5,String,MCQ,8 rem 0,5 rem 0,8 rem 1,4 rem 0,8 rem 0
4,14,Double - Single Digit Division (with remainder) (V),Answer the following Question,98/10,String,MCQ,9 rem 0,8 rem 0,9 rem 8,8 rem 8,9 rem 8
5,14,Double - Single Digit Division (with remainder) (V),Answer the following Question,43/4,String,MCQ,3 rem 0,9 rem 0,4 rem 2,4 rem 3,4 rem 3
6,14,Double - Single Digit Division (with remainder) (V),Answer the following Question,42/9,String,MCQ,4 rem 6,4 rem 3,4 rem 8,4 rem 9,4 rem 6
7,14,Double - Single Digit Division (with remainder) (V),Answer the following Question,40/4,String,MCQ,5 rem 6,10 rem 0,4 rem 6,7 rem 6,10 rem 0
8,14,Double - Single Digit Division (with remainder) (V),Answer the following Question,19/3,String,MCQ,6 rem 4,6 rem 3,6 rem 2,6 rem 1,6 rem 1
9,14,Double - Single Digit Division (with remainder) (V),Answer the following Question,86/4,String,MCQ,21 rem 3,21 rem 2,21 rem 1,21 rem 0,21 rem 2
10,14,Double - Single Digit Division (with remainder) (V),Answer the following Question,37/7,String,MCQ,5 rem 4,5 rem 3,5 rem 2,5 rem 1,5 rem 2
1,15,3 Digit addition (100s added to 1-99),Answer the following Question,845+61,String,MCQ,906,907,909,910,906
2,15,4 Digit addition (100s added to 1-99),Answer the following Question,137+81,String,MCQ,215,216,218,219,218
3,15,5 Digit addition (100s added to 1-99),Answer the following Question,314+95,String,MCQ,120,260,240,409,409
4,15,6 Digit addition (100s added to 1-99),Answer the following Question,622+94,String,MCQ,920,910,890,716,716
5,15,7 Digit addition (100s added to 1-99),Answer the following Question,224+81,String,MCQ,600,505,305,630,305
6,15,8 Digit addition (100s added to 1-99),Answer the following Question,635+71,String,MCQ,706,250,709,700,706
7,15,9 Digit addition (100s added to 1-99),Answer the following Question,413+93,String,MCQ,506,625,630,575,506
8,15,10 Digit addition (100s added to 1-99),Answer the following Question,545+70,String,MCQ,887,615,836,890,615
9,15,11 Digit addition (100s added to 1-99),Answer the following Question,446+82,String,MCQ,528,803,809,700,528
10,15,12 Digit addition (100s added to 1-99),Answer the following Question,265+51,String,MCQ,500,510,316,530,316
1,16,3 Digit subtraction (1-99 subtracted from 100s),Answer the following Question,380-90,String,MCQ,260,270,290,340,290
2,16,4 Digit subtraction (1-99 subtracted from 100s),Answer the following Question,960-70,String,MCQ,760,770,800,890,890
3,16,5 Digit subtraction (1-99 subtracted from 100s),Answer the following Question,310-50,String,MCQ,260,270,280,290,260
4,16,6 Digit subtraction (1-99 subtracted from 100s),Answer the following Question,920-30,String,MCQ,760,770,800,890,890
5,16,7 Digit subtraction (1-99 subtracted from 100s),Answer the following Question,710-80,String,MCQ,760,630,800,890,630
6,16,8 Digit subtraction (1-99 subtracted from 100s),Answer the following Question,250-60,String,MCQ,190,180,170,160,190
7,16,9 Digit subtraction (1-99 subtracted from 100s),Answer the following Question,380-90,String,MCQ,260,270,280,290,290
8,16,10 Digit subtraction (1-99 subtracted from 100s),Answer the following Question,650-90,String,MCQ,560,510,316,530,560
9,16,11 Digit subtraction (1-99 subtracted from 100s),Answer the following Question,860-90,String,MCQ,779,770,800,890,770
10,16,12 Digit subtraction (1-99 subtracted from 100s),Answer the following Question,440-50,String,MCQ,440,390,400,430,390
1,17,3 Digit subtraction (111s subtracted from 111s),Answer the following Question,178-152,String,MCQ,25,26,27,28,26
2,17,4 Digit subtraction (111s subtracted from 111s),Answer the following Question,443-431,String,MCQ,9,10,11,12,12
3,17,5 Digit subtraction (111s subtracted from 111s),Answer the following Question,461-347,String,MCQ,114,112,112,113,114
4,17,6 Digit subtraction (111s subtracted from 111s),Answer the following Question,195-81,String,MCQ,114,112,112,113,114
5,17,7 Digit subtraction (111s subtracted from 111s),Answer the following Question,759-726,String,MCQ,29,34,33,32,33
6,17,8 Digit subtraction (111s subtracted from 111s),Answer the following Question,441-231,String,MCQ,190,233,210,221,210
7,17,9 Digit subtraction (111s subtracted from 111s),Answer the following Question,571-476,String,MCQ,97,96,95,97,95
8,17,10 Digit subtraction (111s subtracted from 111s),Answer the following Question,424-395,String,MCQ,25,26,29,27,29
9,17,11 Digit subtraction (111s subtracted from 111s),Answer the following Question,481-392,String,MCQ,93,91,90,89,89
10,17,12 Digit subtraction (111s subtracted from 111s),Answer the following Question,276-225,String,MCQ,50,51,52,53,51
1,18,Triple x Single Multiply (Vertical) ,Answer the following Question,291x9,String,Text,,,,,2691
2,18,Triple x Single Multiply (Vertical) ,Answer the following Question,369x8,String,Text,,,,,2952
3,18,Triple x Single Multiply (Vertical) ,Answer the following Question,393x1,String,Text,,,,,393
4,18,Triple x Single Multiply (Vertical) ,Answer the following Question,254x1,String,Text,,,,,254
5,18,Triple x Single Multiply (Vertical) ,Answer the following Question,776x3,String,Text,,,,,2328
6,18,Triple x Single Multiply (Vertical) ,Answer the following Question,186X8,String,Text,,,,,1488
7,18,Triple x Single Multiply (Vertical) ,Answer the following Question,765X1,String,Text,,,,,765
8,18,Triple x Single Multiply (Vertical) ,Answer the following Question,382X1,String,Text,,,,,382
9,18,Triple x Single Multiply (Vertical) ,Answer the following Question,636X1,String,Text,,,,,636
10,18,Triple x Single Multiply (Vertical) ,Answer the following Question,783X3,String,Text,,,,,2349
1,19,Triple x Triple Multiply (Vertical) ,Answer the following Question,167x114,String,Text,,,,,19038
2,19,Triple x Triple Multiply (Vertical) ,Answer the following Question,155x871,String,Text,,,,,135005
3,19,Triple x Triple Multiply (Vertical) ,Answer the following Question,183x237,String,Text,,,,,43371
4,19,Triple x Triple Multiply (Vertical) ,Answer the following Question,574x414,String,Text,,,,,237636
5,19,Triple x Triple Multiply (Vertical) ,Answer the following Question,711x673,String,Text,,,,,478503
6,19,Triple x Triple Multiply (Vertical) ,Answer the following Question,537X339,String,Text,,,,,182043
7,19,Triple x Triple Multiply (Vertical) ,Answer the following Question,842X873,String,Text,,,,,735066
8,19,Triple x Triple Multiply (Vertical) ,Answer the following Question,779X934,String,Text,,,,,727586
9,19,Triple x Triple Multiply (Vertical) ,Answer the following Question,198X566,String,Text,,,,,112068
10,19,Triple x Triple Multiply (Vertical) ,Answer the following Question,758X823,String,Text,,,,,623834
1,20,Triple-Double Digit Division (V),Answer the following Question,244/31,String,MCQ,9,8,6.87,7.87,7.87
2,20,Triple-Double Digit Division (V),Answer the following Question,677/67,String,MCQ,10.1,10.2,10.3,10.4,10.1
3,20,Triple-Double Digit Division (V),Answer the following Question,468/23,String,MCQ,20.34,21.31,20.89,13,20.34
4,20,Triple-Double Digit Division (V),Answer the following Question,180/22,String,MCQ,8.19,8.18,8.19,8.16,8.18
5,20,Triple-Double Digit Division (V),Answer the following Question,516/34,String,MCQ,22,23,24,15.18,15.18
6,20,Triple-Double Digit Division (V),Answer the following Question,924/13,String,MCQ,89,71.08,71.9,71,71.08
7,20,Triple-Double Digit Division (V),Answer the following Question,939/72,String,MCQ,13.04,12.07,15.09,13.08,13.04
8,20,Triple-Double Digit Division (V),Answer the following Question,848/56,String,MCQ,13.04,12.07,15.14,13.08,15.14
9,20,Triple-Double Digit Division (V),Answer the following Question,852/50,String,MCQ,13.04,12.07,17.04,13.08,17.04
10,20,Triple-Double Digit Division (V),Answer the following Question,898/52,String,MCQ,20.34,21.31,20.89,17.27,17.27
